actual_offset_V,s1_dbm,s2_dbm
-3.3,-39.5884,-78.1547
-3.2,-39.6348,-76.5415
-3.1,-39.7129,-74.6646
-3,-39.8255,-73.6568
-2.9,-39.9741,-71.9406
-2.8,-40.1425,-70.0437
-2.7,-40.3402,-69.2293
-2.6,-40.534,-69.042
-2.5,-40.7914,-67.4904
-2.4,-41.0939,-66.8548
-2.3,-41.417,-66.1847
-2.2,-41.7877,-65.6266
-2.1,-42.1997,-65.2996
-2,-42.6497,-64.553
-1.9,-43.2106,-64.3169
-1.8,-43.7208,-63.7666
-1.7,-44.3874,-63.7236
-1.6,-45.0911,-63.1263
-1.5,-45.871,-63.2635
-1.4,-46.7308,-62.8775
-1.3,-47.6871,-62.583
-1.2,-48.715,-62.6099
-1.1,-49.858,-62.5041
-1,-51.0124,-62.5872
-0.9,-52.0731,-62.1082
-0.8,-52.8921,-62.1722
-0.7,-53.2959,-62.4042
-0.6,-53.0029,-62.4738
-0.5,-52.182,-62.5371
-0.4,-51.1181,-62.1177
-0.3,-49.9352,-62.5211
-0.2,-48.7872,-62.4181
-0.1,-47.7259,-63.0105
0,-46.7582,-62.7851
0.1,-45.9022,-63.1383
0.2,-45.128,-63.265
0.3,-44.3645,-64.0431
0.4,-43.7513,-63.8811
0.5,-43.1483,-64.3455
0.6,-42.5978,-64.944
0.7,-42.1373,-65.1951
0.8,-41.7286,-66.1947
0.9,-41.3127,-66.8788
1,-41.008,-67.6921
1.1,-40.7041,-67.9336
1.2,-40.431,-69.2231
1.3,-40.2057,-70.4578
1.4,-40.031,-71.6924
1.5,-39.8574,-72.8684
1.6,-39.7318,-74.8814
1.7,-39.628,-76.3978
1.8,-39.5618,-82.6868
1.9,-39.5245,-84.3085
2,-39.5008,-91.1786
2.1,-39.5218,-91.9193
2.2,-39.533,-82.3635
2.3,-39.6182,-77.3197
2.4,-39.6926,-75.1958
2.5,-39.8337,-73.4692
2.6,-39.9435,-71.8585
2.7,-40.1341,-71.0237
2.8,-40.3549,-69.2127
2.9,-40.6025,-68.8101
3,-40.9151,-67.4624
3.1,-41.2199,-67.1961
3.2,-41.6238,-66.1431
3.3,-42.0395,-65.8068
3.4,-42.5048,-65.1584
3.5,-43.0119,-64.8071
3.6,-43.5932,-64.487
3.7,-44.2556,-64.0417
3.8,-44.9506,-63.4978
3.9,-45.6581,-62.9965
4,-46.586,-62.8521
4.1,-47.5479,-62.8756
4.2,-48.6085,-62.715
4.3,-49.7433,-62.7025
4.4,-50.892,-62.3429
4.5,-52.033,-62.0708
4.6,-52.942,-62.3425
4.7,-53.2411,-62.2735
4.8,-52.9318,-62.2973
4.9,-52.0963,-62.5555
5,-50.9298,-62.3233
5.1,-49.7543,-62.5077
5.2,-48.6146,-62.4765
5.3,-47.5207,-62.4562
5.4,-46.5665,-62.7151
5.5,-45.6972,-63.2356
5.6,-44.9005,-63.837
5.7,-44.1987,-63.6019
5.8,-43.5427,-64.3447
5.9,-42.9959,-64.4961
6,-42.4651,-64.9469
6.1,-42.0067,-65.5092
6.2,-41.5977,-66.1929
6.3,-41.2275,-67.1129
6.4,-40.9075,-67.9104
6.5,-40.6065,-68.1907
6.6,-40.373,-69.5334
6.7,-40.149,-69.8677
6.8,-39.9571,-71.0734
6.9,-39.7852,-73.0942
7,-39.7693,-72.4695
7.1,-39.7658,-72.9067
7.2,-39.7659,-73.8474
7.3,-39.7554,-74.0605
7.4,-39.7627,-72.5653
7.5,-39.7497,-72.7356
7.6,-39.7592,-73.5989
7.7,-39.7825,-73.9516
7.8,-39.7485,-73.0483
7.9,-39.7703,-72.9937
8,-39.7756,-73.6232
8.1,-39.7836,-73.7478
8.2,-39.7567,-73.2076
8.3,-39.7598,-73.614
8.4,-39.7722,-74.6003
8.5,-39.7658,-73.1233
8.6,-39.7602,-73.8457
8.7,-39.7539,-73.8394
